Day,PJME_MW
2003-05-13,671286.0
2003-05-14,673181.0
2003-05-15,677956.0
2003-05-16,676096.0
2003-05-17,612964.0
2003-05-18,587162.0
2003-05-19,677813.0
2003-05-20,680027.0
2003-05-21,681021.0
2003-05-22,681579.0
2003-05-23,671718.0
2003-05-24,598036.0
2003-05-25,566925.0
2003-05-26,578300.0
2003-05-27,665287.0
2003-05-28,678314.0
2003-05-29,683721.0
2003-05-30,693320.0
2003-05-31,618072.0
2003-06-01,584338.0
2003-06-02,671015.0
2003-06-03,679763.0
2003-06-04,688130.0
2003-06-05,690263.0
2003-06-06,692136.0
2003-06-07,625679.0
2003-06-08,593041.0
2003-06-09,704373.0
2003-06-10,742625.0
2003-06-11,793879.0
2003-06-12,853247.0
2003-06-13,821580.0
2003-06-14,763682.0
2003-06-15,747989.0
2003-06-16,738609.0
2003-06-17,700228.0
2003-06-18,724791.0
2003-06-19,773759.0
2003-06-20,735935.0
2003-06-21,633633.0
2003-06-22,608607.0
2003-06-23,790980.0
2003-06-24,898640.0
2003-06-25,956702.0
2003-06-26,1036745.0
2003-06-27,1005493.0
2003-06-28,779238.0
2003-06-29,792584.0
2003-06-30,936056.0
2003-07-01,884672.0
2003-07-02,868816.0
2003-07-03,814113.0
2003-07-04,827043.0
2003-07-05,905305.0
2003-07-06,911677.0
2003-07-07,992359.0
2003-07-08,1014793.0
2003-07-09,968649.0
2003-07-10,805043.0
2003-07-11,858933.0
2003-07-12,787143.0
2003-07-13,749689.0
2003-07-14,830918.0
2003-07-15,872057.0
2003-07-16,939385.0
2003-07-17,891350.0
2003-07-18,858494.0
2003-07-19,769910.0
2003-07-20,756917.0
2003-07-21,944239.0
2003-07-22,959305.0
2003-07-23,897854.0
2003-07-24,896023.0
2003-07-25,883964.0
2003-07-26,850910.0
2003-07-27,878437.0
2003-07-28,936559.0
2003-07-29,865124.0
2003-07-30,836739.0
2003-07-31,840196.0
2003-08-01,868529.0
2003-08-02,868813.0
2003-08-03,867294.0
2003-08-04,945997.0
2003-08-05,920799.0
2003-08-06,901603.0
2003-08-07,880294.0
2003-08-08,906738.0
2003-08-09,835581.0
2003-08-10,830991.0
2003-08-11,918935.0
2003-08-12,953600.0
2003-08-13,991426.0
2003-08-14,1002128.0
2003-08-15,998267.0
2003-08-16,874542.0
2003-08-17,804489.0
2003-08-18,865601.0
2003-08-19,888485.0
2003-08-20,940132.0
2003-08-21,1002926.0
2003-08-22,1041440.0
2003-08-23,832322.0
2003-08-24,679563.0
2003-08-25,844483.0
2003-08-26,910719.0
2003-08-27,924912.0
2003-08-28,907598.0
2003-08-29,919946.0
2003-08-30,861813.0
2003-08-31,676765.0
2003-09-01,718288.0
2003-09-02,801362.0
2003-09-03,785687.0
2003-09-04,830787.0
2003-09-05,779569.0
2003-09-06,666288.0
2003-09-07,657932.0
2003-09-08,774301.0
2003-09-09,761546.0
2003-09-10,736000.0
2003-09-11,752640.0
2003-09-12,722950.0
2003-09-13,694362.0
2003-09-14,749990.0
2003-09-15,838947.0
2003-09-16,786609.0
2003-09-17,749684.0
2003-09-18,710654.0
2003-09-19,689334.0
2003-09-20,686912.0
2003-09-21,643273.0
2003-09-22,749594.0
2003-09-23,763624.0
2003-09-24,714774.0
2003-09-25,745073.0
2003-09-26,755393.0
2003-09-27,721828.0
2003-09-28,659638.0
2003-09-29,683965.0
2003-09-30,679473.0
2003-10-01,684206.0
2003-10-02,687248.0
2003-10-03,688944.0
2003-10-04,625937.0
2003-10-05,596227.0
2003-10-06,682179.0
2003-10-07,694816.0
2003-10-08,699297.0
2003-10-09,707836.0
2003-10-10,690531.0
2003-10-11,614244.0
2003-10-12,597463.0
2003-10-13,678389.0
2003-10-14,690256.0
2003-10-15,681331.0
2003-10-16,689442.0
2003-10-17,679684.0
2003-10-18,615388.0
2003-10-19,599599.0
2003-10-20,686573.0
2003-10-21,692168.0
2003-10-22,689187.0
2003-10-23,726272.0
2003-10-24,723865.0
2003-10-25,645856.0
2003-10-26,587920.0
2003-10-27,698891.0
2003-10-28,704053.0
2003-10-29,712831.0
2003-10-30,711431.0
2003-10-31,689104.0
2003-11-01,623191.0
2003-11-02,604127.0
2003-11-03,704181.0
2003-11-04,703638.0
2003-11-05,714552.0
2003-11-06,710084.0
2003-11-07,683484.0
2003-11-08,648382.0
2003-11-09,672490.0
2003-11-10,766441.0
2003-11-11,749218.0
2003-11-12,720222.0
2003-11-13,726315.0
2003-11-14,762914.0
2003-11-15,668891.0
2003-11-16,648927.0
2003-11-17,711925.0
2003-11-18,729692.0
2003-11-19,719434.0
2003-11-20,716784.0
2003-11-21,715736.0
2003-11-22,641221.0
2003-11-23,625886.0
2003-11-24,709820.0
2003-11-25,754085.0
2003-11-26,762924.0
2003-11-27,629639.0
2003-11-28,640627.0
2003-11-29,677124.0
2003-11-30,675292.0
2003-12-01,740611.0
2003-12-02,809734.0
2003-12-03,845817.0
2003-12-04,841318.0
2003-12-05,841631.0
2003-12-06,808017.0
2003-12-07,787378.0
2003-12-08,850796.0
2003-12-09,843061.0
2003-12-10,814782.0
2003-12-11,778132.0
2003-12-12,805082.0
2003-12-13,781348.0
2003-12-14,792602.0
2003-12-15,839965.0
2003-12-16,826148.0
2003-12-17,817918.0
2003-12-18,857279.0
2003-12-19,849880.0
2003-12-20,793845.0
2003-12-21,777031.0
2003-12-22,801680.0
2003-12-23,749692.0
2003-12-24,703678.0
2003-12-25,678680.0
2003-12-26,748258.0
2003-12-27,705055.0
2003-12-28,698046.0
2003-12-29,757862.0
2003-12-30,746758.0
2003-12-31,739893.0
2004-01-01,669246.0
2004-01-02,717758.0
2004-01-03,657300.0
2004-01-04,642610.0
2004-01-05,765304.0
2004-01-06,815305.0
2004-01-07,908676.0
2004-01-08,891779.0
2004-01-09,880460.0
2004-01-10,929116.0
2004-01-11,872574.0
2004-01-12,854767.0
2004-01-13,827819.0
2004-01-14,918386.0
2004-01-15,939468.0
2004-01-16,990735.0
2004-01-17,861025.0
2004-01-18,792631.0
2004-01-19,887039.0
2004-01-20,920951.0
2004-01-21,925742.0
2004-01-22,892768.0
2004-01-23,949642.0
2004-01-24,891469.0
2004-01-25,903892.0
2004-01-26,963060.0
2004-01-27,938056.0
2004-01-28,910752.0
2004-01-29,916052.0
2004-01-30,920821.0
2004-01-31,894697.0
2004-02-01,830660.0
2004-02-02,879166.0
2004-02-03,868831.0
2004-02-04,825696.0
2004-02-05,863596.0
2004-02-06,858086.0
2004-02-07,756690.0
2004-02-08,786140.0
2004-02-09,849010.0
2004-02-10,791324.0
2004-02-11,807910.0
2004-02-12,830943.0
2004-02-13,801556.0
2004-02-14,740722.0
2004-02-15,748068.0
2004-02-16,866408.0
2004-02-17,871895.0
2004-02-18,833181.0
2004-02-19,799770.0
2004-02-20,779165.0
2004-02-21,704713.0
2004-02-22,702874.0
2004-02-23,786031.0
2004-02-24,804339.0
2004-02-25,823562.0
2004-02-26,818911.0
2004-02-27,786676.0
2004-02-28,704533.0
2004-02-29,661572.0
2004-03-01,728216.0
2004-03-02,713831.0
2004-03-03,709857.0
2004-03-04,720931.0
2004-03-05,713561.0
2004-03-06,641354.0
2004-03-07,628184.0
2004-03-08,751011.0
2004-03-09,775200.0
2004-03-10,787817.0
2004-03-11,757283.0
2004-03-12,750411.0
2004-03-13,718693.0
2004-03-14,697095.0
2004-03-15,719919.0
2004-03-16,802252.0
2004-03-17,809063.0
2004-03-18,794130.0
2004-03-19,776087.0
2004-03-20,705738.0
